Participant,Practice,Block,Trial,ObjectCount,VVChange
0,TRUE,0,0,large,VV1
0,TRUE,0,1,medium,VV1
0,TRUE,0,2,large,VV2
0,FALSE,1,0,medium,VV1
0,FALSE,1,1,large,VV1
0,FALSE,1,2,small,VV2
0,FALSE,1,3,medium,VV1
0,FALSE,1,4,large,VV1
0,FALSE,1,5,large,VV1VV2
0,FALSE,1,6,small,VV2
0,FALSE,1,7,medium,VV1
0,FALSE,1,8,medium,VV1
0,FALSE,1,9,small,VV1VV2
0,FALSE,1,10,small,VV1VV2
0,FALSE,1,11,medium,VV1VV2
0,FALSE,1,12,medium,VV2
0,FALSE,1,13,small,VV1
0,FALSE,1,14,medium,VV1VV2
0,FALSE,1,15,medium,VV1VV2
0,FALSE,1,16,small,VV1VV2
0,FALSE,1,17,large,VV2
0,FALSE,1,18,large,VV1
0,FALSE,1,19,small,VV2
0,FALSE,1,20,large,VV1VV2
0,FALSE,1,21,large,VV2
0,FALSE,1,22,large,VV1VV2
0,FALSE,1,23,small,VV2
0,FALSE,1,24,large,VV2
0,FALSE,1,25,large,VV1
0,FALSE,1,26,medium,VV2
0,FALSE,1,27,large,VV2
0,FALSE,1,28,large,VV1VV2
0,FALSE,1,29,large,VV1VV2
0,FALSE,1,30,large,VV1
0,FALSE,1,31,medium,VV1VV2
0,FALSE,1,32,medium,VV1
0,FALSE,1,33,large,VV2
0,FALSE,1,34,medium,VV1VV2
0,FALSE,1,35,medium,VV2
0,FALSE,1,36,small,VV2
0,FALSE,1,37,medium,VV2
0,FALSE,1,38,small,VV1VV2
0,FALSE,1,39,small,VV1
0,FALSE,1,40,small,VV1VV2
0,FALSE,1,41,small,VV1
0,FALSE,1,42,small,VV1
0,FALSE,1,43,medium,VV2
0,FALSE,1,44,small,VV1
1,FALSE,1,0,large,VV1
1,FALSE,1,1,medium,VV1
1,FALSE,1,2,medium,VV1
1,FALSE,1,3,medium,VV1VV2
1,FALSE,1,4,small,VV2
1,FALSE,1,5,small,VV1
1,FALSE,1,6,large,VV2
1,FALSE,1,7,small,VV2
1,FALSE,1,8,large,VV1VV2
1,FALSE,1,9,medium,VV1
1,FALSE,1,10,medium,VV1VV2
1,FALSE,1,11,medium,VV2
1,FALSE,1,12,large,VV1VV2
1,FALSE,1,13,medium,VV1VV2
1,FALSE,1,14,medium,VV2
1,FALSE,1,15,small,VV1
1,FALSE,1,16,medium,VV2
1,FALSE,1,17,small,VV1VV2
1,FALSE,1,18,small,VV1VV2
1,FALSE,1,19,large,VV1
1,FALSE,1,20,medium,VV1VV2
1,FALSE,1,21,small,VV1VV2
1,FALSE,1,22,medium,VV2
1,FALSE,1,23,large,VV1VV2
1,FALSE,1,24,large,VV1VV2
1,FALSE,1,25,large,VV2
1,FALSE,1,26,large,VV1
1,FALSE,1,27,large,VV1VV2
1,FALSE,1,28,small,VV1VV2
1,FALSE,1,29,small,VV2
1,FALSE,1,30,small,VV1VV2
1,FALSE,1,31,medium,VV1
1,FALSE,1,32,medium,VV1VV2
1,FALSE,1,33,small,VV1
1,FALSE,1,34,large,VV2
1,FALSE,1,35,medium,VV2
1,FALSE,1,36,small,VV1
1,FALSE,1,37,medium,VV1
1,FALSE,1,38,small,VV1
1,FALSE,1,39,small,VV2
1,FALSE,1,40,large,VV1
1,FALSE,1,41,small,VV2
1,FALSE,1,42,large,VV2
1,FALSE,1,43,large,VV2
1,FALSE,1,44,large,VV1
2,FALSE,1,0,large,VV2
2,FALSE,1,1,medium,VV1
2,FALSE,1,2,small,VV2
2,FALSE,1,3,small,VV1
2,FALSE,1,4,small,VV1
2,FALSE,1,5,large,VV1
2,FALSE,1,6,medium,VV2
2,FALSE,1,7,large,VV2
2,FALSE,1,8,medium,VV1
2,FALSE,1,9,small,VV2
2,FALSE,1,10,large,VV1
2,FALSE,1,11,large,VV1VV2
2,FALSE,1,12,small,VV2
2,FALSE,1,13,large,VV1VV2
2,FALSE,1,14,large,VV2
2,FALSE,1,15,large,VV1
2,FALSE,1,16,medium,VV1
2,FALSE,1,17,medium,VV2
2,FALSE,1,18,small,VV1
2,FALSE,1,19,small,VV1VV2
2,FALSE,1,20,medium,VV1
2,FALSE,1,21,large,VV1VV2
2,FALSE,1,22,medium,VV2
2,FALSE,1,23,large,VV1
2,FALSE,1,24,small,VV1VV2
2,FALSE,1,25,medium,VV1VV2
2,FALSE,1,26,large,VV2
2,FALSE,1,27,small,VV1
2,FALSE,1,28,medium,VV1VV2
2,FALSE,1,29,small,VV1VV2
2,FALSE,1,30,medium,VV2
2,FALSE,1,31,medium,VV1
2,FALSE,1,32,medium,VV1VV2
2,FALSE,1,33,large,VV2
2,FALSE,1,34,large,VV1VV2
2,FALSE,1,35,large,VV1VV2
2,FALSE,1,36,small,VV1VV2
2,FALSE,1,37,small,VV1
2,FALSE,1,38,medium,VV2
2,FALSE,1,39,large,VV1
2,FALSE,1,40,small,VV2
2,FALSE,1,41,small,VV2
2,FALSE,1,42,small,VV1VV2
2,FALSE,1,43,medium,VV1VV2
2,FALSE,1,44,medium,VV1VV2
3,FALSE,1,0,large,VV1
3,FALSE,1,1,small,VV1
3,FALSE,1,2,large,VV1
3,FALSE,1,3,medium,VV2
3,FALSE,1,4,large,VV2
3,FALSE,1,5,large,VV2
3,FALSE,1,6,small,VV1VV2
3,FALSE,1,7,medium,VV1VV2
3,FALSE,1,8,large,VV1VV2
3,FALSE,1,9,small,VV1VV2
3,FALSE,1,10,medium,VV1
3,FALSE,1,11,large,VV2
3,FALSE,1,12,medium,VV2
3,FALSE,1,13,large,VV2
3,FALSE,1,14,medium,VV1
3,FALSE,1,15,medium,VV1VV2
3,FALSE,1,16,medium,VV1VV2
3,FALSE,1,17,small,VV1
3,FALSE,1,18,medium,VV1
3,FALSE,1,19,small,VV1
3,FALSE,1,20,medium,VV2
3,FALSE,1,21,large,VV1
3,FALSE,1,22,small,VV1VV2
3,FALSE,1,23,medium,VV1
3,FALSE,1,24,small,VV2
3,FALSE,1,25,medium,VV2
3,FALSE,1,26,small,VV2
3,FALSE,1,27,large,VV1
3,FALSE,1,28,medium,VV1VV2
3,FALSE,1,29,small,VV2
3,FALSE,1,30,small,VV1VV2
3,FALSE,1,31,large,VV1VV2
3,FALSE,1,32,large,VV1VV2
3,FALSE,1,33,small,VV1
3,FALSE,1,34,large,VV1VV2
3,FALSE,1,35,large,VV1VV2
3,FALSE,1,36,medium,VV2
3,FALSE,1,37,small,VV1
3,FALSE,1,38,medium,VV1
3,FALSE,1,39,large,VV1
3,FALSE,1,40,small,VV2
3,FALSE,1,41,small,VV2
3,FALSE,1,42,small,VV1VV2
3,FALSE,1,43,medium,VV1VV2
3,FALSE,1,44,large,VV2
4,FALSE,1,0,large,VV1
4,FALSE,1,1,small,VV2
4,FALSE,1,2,large,VV1
4,FALSE,1,3,small,VV1VV2
4,FALSE,1,4,large,VV1VV2
4,FALSE,1,5,medium,VV1VV2
4,FALSE,1,6,medium,VV1VV2
4,FALSE,1,7,medium,VV2
4,FALSE,1,8,large,VV1VV2
4,FALSE,1,9,small,VV2
4,FALSE,1,10,large,VV1
4,FALSE,1,11,small,VV2
4,FALSE,1,12,small,VV2
4,FALSE,1,13,small,VV2
4,FALSE,1,14,small,VV1VV2
4,FALSE,1,15,large,VV2
4,FALSE,1,16,small,VV1VV2
4,FALSE,1,17,medium,VV2
4,FALSE,1,18,medium,VV1
4,FALSE,1,19,medium,VV2
4,FALSE,1,20,large,VV1VV2
4,FALSE,1,21,large,VV2
4,FALSE,1,22,medium,VV1
4,FALSE,1,23,small,VV1VV2
4,FALSE,1,24,medium,VV2
4,FALSE,1,25,small,VV1
4,FALSE,1,26,large,VV2
4,FALSE,1,27,medium,VV1VV2
4,FALSE,1,28,medium,VV1
4,FALSE,1,29,small,VV1
4,FALSE,1,30,medium,VV1
4,FALSE,1,31,large,VV1VV2
4,FALSE,1,32,medium,VV2
4,FALSE,1,33,large,VV2
4,FALSE,1,34,large,VV2
4,FALSE,1,35,large,VV1
4,FALSE,1,36,small,VV1VV2
4,FALSE,1,37,medium,VV1
4,FALSE,1,38,large,VV1VV2
4,FALSE,1,39,medium,VV1VV2
4,FALSE,1,40,small,VV1
4,FALSE,1,41,medium,VV1VV2
4,FALSE,1,42,small,VV1
4,FALSE,1,43,small,VV1
4,FALSE,1,44,large,VV1
5,FALSE,1,0,medium,VV1VV2
5,FALSE,1,1,small,VV1
5,FALSE,1,2,large,VV2
5,FALSE,1,3,small,VV2
5,FALSE,1,4,large,VV2
5,FALSE,1,5,large,VV2
5,FALSE,1,6,small,VV1VV2
5,FALSE,1,7,small,VV1
5,FALSE,1,8,large,VV1
5,FALSE,1,9,medium,VV1
5,FALSE,1,10,large,VV1
5,FALSE,1,11,large,VV1VV2
5,FALSE,1,12,small,VV1VV2
5,FALSE,1,13,small,VV1VV2
5,FALSE,1,14,small,VV1VV2
5,FALSE,1,15,small,VV1VV2
5,FALSE,1,16,small,VV1
5,FALSE,1,17,large,VV2
5,FALSE,1,18,medium,VV2
5,FALSE,1,19,medium,VV2
5,FALSE,1,20,medium,VV1
5,FALSE,1,21,medium,VV1VV2
5,FALSE,1,22,medium,VV2
5,FALSE,1,23,large,VV1
5,FALSE,1,24,medium,VV1VV2
5,FALSE,1,25,medium,VV2
5,FALSE,1,26,medium,VV1
5,FALSE,1,27,large,VV1VV2
5,FALSE,1,28,large,VV1
5,FALSE,1,29,large,VV1VV2
5,FALSE,1,30,small,VV2
5,FALSE,1,31,medium,VV1VV2
5,FALSE,1,32,large,VV1VV2
5,FALSE,1,33,small,VV2
5,FALSE,1,34,medium,VV1VV2
5,FALSE,1,35,large,VV2
5,FALSE,1,36,small,VV2
5,FALSE,1,37,large,VV1
5,FALSE,1,38,small,VV2
5,FALSE,1,39,large,VV1VV2
5,FALSE,1,40,small,VV1
5,FALSE,1,41,small,VV1
5,FALSE,1,42,medium,VV1
5,FALSE,1,43,medium,VV2
5,FALSE,1,44,medium,VV1
